,Price
0,205949.32200759512
1,227364.19475258846
2,127718.73891468579
3,251446.00368204655
4,160228.58389664802
5,148738.8546357479
6,225412.79680256755
7,203117.34669393318
8,280840.45291367336
9,294159.4358048338
10,263437.4160281096
11,283810.9605498893
12,149876.48765274484
13,198585.78601143463
14,143505.98922078608
15,169145.03603291741
16,289727.37068449793
17,164126.69988610945
18,280503.08383219724
19,219425.99102813174
20,162675.24996113838
21,155787.39185811463
22,279991.7804680968
23,146808.41089365422
24,226129.85274304848
25,194685.4483433698
26,262467.38927996595
27,162045.6652474853
28,163892.8169846029
29,241092.71706207862
30,215416.4414285237
31,250691.31105561607
32,189705.2834881241
33,164170.33563872322
34,166984.1206751261
35,220356.6846220872
36,158901.22707558144
37,192135.63379299216
38,198282.70721312767
39,171607.9661943398
40,348759.22195490485
41,202272.1002051367
42,208631.5856405738
43,141169.5498505827
44,166573.9945890733
45,301433.8265318369
46,150251.19832534192
47,266886.1073735883
48,224446.21553691258
49,151601.78621798666
50,144703.30620742473
51,269123.34070470254
52,260948.52222538067
53,167159.4198296939
54,193050.97095175684
55,186396.0562580952
56,157418.27853526024
57,293230.6356832989
58,120937.2096038248
59,154741.34559762204
60,242480.49153235584
61,273510.22529484605
62,222232.84758342023
63,284055.6198517381
64,191089.00452421192
65,148893.58148341297
66,82838.84760241388
67,292890.3759409097
68,197015.67593612362
69,221944.46765394954
70,199167.418619814
71,255283.45966859555
72,338790.4851360298
73,205251.15404506732
74,157476.4786482454
75,156272.89616205427
76,214196.83908805894
77,211708.54300370385
78,406269.0499330652
79,195485.5033576833
80,200764.81190548965
81,308947.9871260681
82,214531.11736042268
83,230288.06969137045
84,211764.04665124597
85,290920.24052819546
86,259605.68526254833
87,156180.92007352362
88,159581.80781712226
89,223685.11104359996
90,194490.99638002602
91,164080.36287751337
92,160818.5133068406
93,148070.22972600418
94,236018.7217315382
95,158795.00901515593
96,227027.22618623445
97,276730.5766230549
98,150899.46725453125
99,230514.3350264467
100,159590.79190146568
101,216019.28149360654
102,221191.92161714108
103,162309.7621564284
104,267442.0276560251
105,194088.78197180992
106,165350.9433428283
107,299615.1867815993
108,160876.78790867503
109,148301.78542706638
110,276655.1776954903
111,160435.40898910043
112,278374.5680111977
113,163396.08314837195
114,264806.32629355125
115,215717.10401905177
116,155525.17173762788
117,204723.76553949123
118,251669.14830050946
119,220211.3448394431
120,146071.88966659724
121,146519.8208622018
122,212156.05952907252
123,146608.61720590212
124,156084.0955169628
125,216134.9109238844
126,287974.65255028516
127,193210.41115085906
128,147235.39473927245
129,169305.70428791575
130,152132.399839163
131,220679.93588788717
132,234110.43373189043
133,163829.5579959274
134,153607.0593747622
135,293990.12620190275
136,200806.8333670625
137,201116.94678390116
138,205786.77291127894
139,242343.07550561224
140,238909.097230369
141,205481.1940125947
142,276626.4064600713
143,155064.14511613676
144,164849.88852415362
145,299296.45178106794
146,137637.60396002192
147,242118.7243252564
148,215299.57578292108
149,352330.0661500313
150,205709.83888989643
151,167515.57954236766
152,168078.24850063346
153,318567.3257849335
154,169650.83143037505
155,271969.6580195215
156,258006.96211729993
157,154051.76183954818
158,166048.49487522154
159,226715.78111686037
160,169974.75833236467
161,322088.51376334997
162,304802.79488368105
163,194335.9514747045
164,144465.81085852243
165,202146.4647724918
166,158943.73424410046
167,152628.26830715677
168,223740.98016090234
169,198241.10622607346
170,248337.2957299736
171,157456.6241858384
172,200035.58052801402
173,221890.0154419957
174,130577.60415747832
175,223505.53822440284
176,146522.35554673878
177,255207.24219403174
178,285032.41693252244
179,282475.87743262836
180,312129.5893556822
181,169250.60458346462
182,222059.57877601287
183,326094.4816034171
184,240280.93484847585
185,141963.5493948132
186,227337.05958003388
187,144494.0644801053
188,296344.8603700122
189,165254.9199840355
190,166627.76667608938
191,158367.82510349242
192,202183.0781642989
193,159885.28418525207
194,213650.889496984
195,225565.5717871178
196,278490.0841902733
197,218946.0426761605
198,238225.6285856357
199,223036.63967723565
200,215296.5494063078
201,241280.5312889007
202,186821.8952904867
203,270550.26420162653
204,164429.83414078428
205,204829.2075414827
206,343330.88281543076
207,146658.22175722796
208,154720.21801553946
209,160203.22589129297
210,185789.3051024875
211,166674.05233203122
212,166359.58294919235
213,168552.36434013868
214,169696.75991920108
215,211467.89992127146
216,154277.76883584895
217,222745.92922929607
218,255241.96540399376
219,241945.27192602013
220,152274.92758924898
221,196446.66309360016
222,167755.36063837935
223,200232.76424946683
224,280938.48302321613
225,388010.71971603425
226,317677.0031094466
227,200934.70230787405
228,197683.4143130118
229,228128.82809342834
230,248917.7588781013
231,162422.32502156933
232,155435.88913946354
233,167375.1642601609
234,217077.0321379237
235,215604.82423441394
236,235029.41284556163
237,175591.8859838974
238,162030.80230674607
239,218918.53922491023
240,155938.03193382986
241,155830.67789263715
242,166201.2302683157
243,240447.90427995383
244,228521.06839822873
245,247278.05146544118
246,302595.0841521462
247,271865.1350447783
248,292716.00320696656
249,197401.59143338297
250,224511.44946825958
251,236960.19057079923
252,179245.26319235918
253,225568.89295807306
254,200752.12030102895
255,330442.79173097626
256,287166.66835691675
257,309443.126318611
258,146359.6634113202
259,277737.15321992507
260,294307.4599591079
261,247838.7673073363
262,238638.32774595456
263,247258.68260249787
264,208076.61256615876
265,169649.84309964033
266,154541.52760234743
267,301432.0731126825
268,160388.19849985724
269,224708.34547343355
270,242650.67671818292
271,251567.21577779637
272,221149.62670825075
273,199131.7995411087
274,255249.97762983342
275,306123.7041420687
276,204239.96039170132
277,200783.92185374128
278,353650.1999077386
279,191974.04502562078
280,251794.8987710597
281,191745.57845585042
282,125494.56164684094
283,223772.143836493
284,145711.75390129833
285,216819.66976737877
286,202060.7731190272
287,234909.774511177
288,141000.8864427247
289,254454.48470698064
290,188239.00511144008
291,163895.9857058073
292,166249.70579195186
293,183074.837414998
294,236800.68987757573
295,169687.29738164198
296,158740.41403946222
297,134598.2198196018
298,247530.87856719334
299,146624.42539203126
300,207164.69154822407
301,202165.29205378136
302,195138.79088452135
303,141624.51535141625
304,289255.01576562005
305,212915.6602207972
306,214589.06298063378
307,194062.46042589564
308,221223.37896502245
309,170631.73026780033
310,164442.521994245
311,287287.65784879576
312,223615.03873456182
313,200440.91197620155
314,160463.8434169355
315,156451.79491740657
316,201276.0552297529
317,356166.86001288955
318,224542.1370778199
319,197444.5672045308
320,178345.46593138052
321,303149.96967281995
322,194843.5361061945
323,202624.24358456637
324,282772.96411419276
325,162153.1881498121
326,218726.55690844724
327,199054.89724656363
328,150318.56078977266
329,224730.51195478853
330,146949.90100502552
331,227106.9058550327
332,301128.6394028646
333,160632.94413997798
334,198406.78215867945
335,204129.5475838119
336,199535.37706716667
337,202356.08916573174
338,162291.2256281324
339,153546.65250546645
340,205137.39591541322
341,201669.05181705655
342,292449.7671939547
343,207902.21479047698
344,161448.16280609142
345,224654.09071890672
346,148493.64507649303
347,194920.2884686848
348,222520.2069986691
349,147399.83783096366
350,152684.3327275953
351,165095.538820833
352,256911.04795541774
353,197339.64609015652
354,267626.3683457661
355,234796.65248892768
356,216457.51937884683
357,210922.4078852009
358,266360.7696444326
359,220421.57661763416
360,148820.56186808058
361,287992.67313656467
362,169405.79397538176
363,219763.2004543545
364,166075.62676708907
365,182330.10462152463
366,142518.496846776
367,196509.44424311147
368,245840.77554482917
369,230100.3793286745
370,150737.48358283303
371,138207.33514301685
372,220109.408389848
373,226273.93845720918
374,296206.48065439437
375,219550.49053798156
376,258215.3263923452
377,200904.63284453435
378,199953.51605110688
379,196365.71465221044
380,198239.14751333842
381,155865.69626143173
382,199748.8989802089
383,185023.6889410487
384,151867.31081504875
385,273692.0841282517
386,146643.0886244941
387,252531.86900106343
388,151933.80425467755
389,181838.28911728633
390,235199.14681594865
391,163871.60666601238
392,166435.6684630484
393,161004.37765950314
394,207197.5961577691
395,273016.71139787405
396,217182.58358583882
397,155216.09587309358
398,153232.14411387377
399,295835.597966978
400,296371.66944899334
401,288617.14530538284
402,253993.1561099814
403,217734.10978226492
404,149564.29279935337
405,239079.74652869807
406,195785.95031877203
407,159614.951708355
408,160362.62416937074
409,304736.7595093996
410,203988.60953094016
411,167661.5435179455
412,272743.55872103735
413,234847.16399719293
414,258348.307068773
415,201737.68235758363
416,176957.09925488272
417,156791.9890974127
418,235000.79673716752
419,269163.2066575108
420,232496.93326748666
421,197270.09926017083
422,178870.77178810636
423,291548.1543850886
424,201652.8353805201
425,149018.9449103247
426,149519.7247998096
427,167302.9026419325
428,232869.96275260794
429,294859.7272034774
430,198946.6125866592
431,249145.1590415566
432,260466.7401084033
433,154795.74008956098
434,162316.9443368083
435,178099.9884045343
436,235164.13628029922
437,224347.6325009092
438,195257.40604642036
439,271808.7821150849
440,232223.64525279915
441,154131.47611006646
442,263196.83496031235
443,154265.8843174394
444,212639.54202804266
445,290399.5945832492
446,235370.7835249339
447,140654.44536334835
448,217293.9109765852
449,205238.09580092906
450,161611.8531402082
451,158237.11253247323
452,293459.43481172173
453,149632.28621245085
454,153202.20852539898
455,192550.69967333975
456,188587.60184971307
457,188992.3374682403
458,246928.99823755125
459,202148.02203571086
460,285509.0089351539
461,285492.80537312385
462,174893.72253165697
463,154246.95894469033
464,222096.32026416872
465,150013.3877823336
466,344840.81096939906
467,253422.8442774769
468,159793.1902051073
469,218527.26664469915
470,222510.00627979918
471,288412.83668380725
472,167380.54497734737
473,153170.27833628986
474,299197.836188637
475,276239.4265799389
476,229085.22615849593
477,201116.33772705283
478,164683.6771782779
479,317965.6688250053
480,209105.4175261583
481,270569.34315315704
482,141527.143424928
483,166310.87790043012
484,195965.11824457912
485,250862.0244517605
486,173721.24493516184
487,239489.87605814714
488,201601.64745342554
489,283266.5632415585
490,145782.80392788973
491,164822.2550129051
492,228542.1831257611
493,164909.37535106638
494,196682.9117319521
495,215172.71217817554
496,354567.6380086967
497,151117.21829751067
498,242932.1086430129
499,254535.17744075696
500,281530.4487768466
501,190705.16131358215
502,225532.71289952373
503,298192.72639588633
504,220498.11390824214
505,252455.26107080022
506,291608.4688752685
507,223216.52852236643
508,197354.74837439827
509,270586.06692606217
510,251219.48820148298
511,167874.54721293415
512,137708.39650361997
513,262677.66652846534
514,351042.8588848235
515,199858.0893503693
516,316904.5793414763
517,321363.03587053285
518,158132.60562214628
519,189523.42131950436
520,204016.43666282514
521,177363.63703800458
522,307774.97424013645
523,284705.5350914834
524,290793.19558657304
525,196581.32196189038
526,189681.6682226698
527,280390.88927366165
528,249857.00327614773
529,149699.30863470427
530,210791.2318727882
531,211995.9294713752
532,155758.38899456293
533,176078.66333698906
534,294247.53624585475
535,302668.148420154
536,145871.1065401347
537,259741.31692884164
538,205937.3584270769
539,158419.7386222387
540,216322.38455419967
541,163907.33588116858
542,375872.7547361852
543,153877.51096490506
544,198616.46115820916
545,156709.174125095
546,157208.0652094978
547,163739.38468606802
548,333407.11936227285
549,162486.25049074597
550,283503.4256908621
551,194956.68811614614
552,153368.8008177832
553,318235.09142801503
554,196651.84798092686
555,264130.9992702704
556,165732.9185588265
557,116897.38134454968
558,198176.67921274673
559,200731.76913105603
560,264552.5464839116
561,199999.85092303855
562,167959.18032149912
563,295397.9764087829
564,201741.84067062326
565,218175.6010636792
566,200711.24040079737
567,194630.11537134158
568,148968.41705779123
569,285615.04617301386
570,200825.28417240514
571,267226.7932211367
572,147194.02865769406
573,299533.3316695723
574,148787.02005754327
575,318714.9965449969
576,163464.19429072333
577,235509.35708051303
578,257357.42367401544
579,153239.92645413423
580,177842.72588647628
581,145876.4774139621
582,295306.8266914976
583,221251.22027563857
584,270830.085256343
585,197289.6559006931
586,293677.8822590839
587,166839.5753230165
588,222784.00820439274
589,202020.52128311028
590,160057.77108419468
591,219014.09640905648
592,157719.51223375858
593,170933.3696527585
594,190332.6565560104
595,154033.28778468168
596,162957.76712520918
597,259847.6622209732
598,161487.75116474912
599,212657.5096918594
600,198735.6377560985
601,222127.27063741803
602,158706.50684410307
603,146389.9945702211
604,203090.23783234216
605,210591.83775588253
606,201369.90432802757
607,226867.50936531345
608,84962.73574339834
609,146593.38595278334
610,188839.38424215285
611,201528.85650395128
612,223068.12287179276
613,153741.66105689347
614,198174.64287579057
615,215363.0314483842
616,152216.03068388876
617,284339.64763689274
618,161823.30826395846
619,382354.5117160302
620,164658.89320243793
621,216653.12718889234
622,264433.5999247917
623,269274.2716156529
624,149728.9941447234
625,283083.7524002193
626,200958.1866689871
627,127438.26268111335
628,146981.42439842795
629,257179.47134411702
630,209205.9824675491
631,197083.00581781607
632,156950.22365481488
633,161590.82659548166
634,166843.7349722397
635,208340.5015576799
636,144689.13459852972
637,297598.30257584306
638,178022.67465131058
639,150606.8808945031
640,150729.42744811482
641,161872.1423123004
642,149483.75840416754
643,286715.79985246307
644,147752.59956901614
645,183877.89182660411
646,147598.55966420635
647,338533.58364229987
648,145757.35366567114
649,167568.67707021302
650,198253.98098362
651,239663.69151187871
652,171783.0744589765
653,260405.79706685728
654,211170.005926889
655,157588.49941917328
656,197902.45488103884
657,143494.181429038
658,281490.0430880254
659,152241.70992398338
660,210347.47353684332
661,278544.2584666286
662,241115.94212784045
